"Species","Type","Orthologue","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Giant panda (Ailuropoda melanoleuca)","1-to-1 View Gene Tree","VNN1  (ENSAMEG00000010616) Compare Regions (10:79,307,582-79,326,954:-1) View Sequence Alignments","79.92 %","79.92 %","100","n/a","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","Many-to-many View Gene Tree","ENSAPLG00000008745 Compare Regions (3:59,018,094-59,024,302:1) View Sequence Alignments","61.20 %","59.65 %","100","56.49","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","Many-to-many View Gene Tree","ENSAPLG00000008759 Compare Regions (3:59,025,421-59,046,972:1) View Sequence Alignments","66.40 %","64.33 %","100","33.63","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","Many-to-many View Gene Tree","ENSAPLG00000027089 Compare Regions (PEDO01010711.1:485-2,013:-1) View Sequence Alignments","62.75 %","12.48 %","0","0.00","No"
"Green anole (Anolis carolinensis)","Many-to-many View Gene Tree","ENSACAG00000010522 Compare Regions (GL343200.1:4,438,532-4,448,126:1) View Sequence Alignments","65.60 %","63.94 %","100","n/a","Yes"
"Green anole (Anolis carolinensis)","Many-to-many View Gene Tree","ENSACAG00000039983 Compare Regions (GL343200.1:4,418,482-4,421,078:1) View Sequence Alignments","48.37 %","17.35 %","100","n/a","No"
"Pink-footed goose (Anser brachyrhynchus)","Many-to-many View Gene Tree","ENSABRG00000009086 Compare Regions (NXHY01000003.1:4,800,326-4,819,947:-1) View Sequence Alignments","65.99 %","63.16 %","100","27.23","Yes"
"Pink-footed goose (Anser brachyrhynchus)","Many-to-many View Gene Tree","ENSABRG00000009112 Compare Regions (NXHY01000003.1:4,804,908-4,808,373:-1) View Sequence Alignments","61.26 %","13.26 %","100","46.59","No"
"Pink-footed goose (Anser brachyrhynchus)","Many-to-many View Gene Tree","ENSABRG00000009139 Compare Regions (NXHY01000003.1:4,825,646-4,831,617:-1) View Sequence Alignments","61.77 %","59.84 %","100","56.59","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1 View Gene Tree","VNN1  (ENSANAG00000029786) Compare Regions (KZ199521.1:13,721,935-13,755,559:1) View Sequence Alignments","88.52 %","88.69 %","100","100.00","Yes"
"Golden eagle (Aquila chrysaetos chrysaetos)","Many-to-many View Gene Tree","ENSACCG00020010899 Compare Regions (8:23,509,434-23,511,605:1) View Sequence Alignments","64.79 %","17.93 %","100","0.00","No"
"Golden eagle (Aquila chrysaetos chrysaetos)","Many-to-many View Gene Tree","VNN1  (ENSACCG00020010935) Compare Regions (8:23,521,239-23,538,744:1) View Sequence Alignments","65.80 %","64.13 %","100","82.45","Yes"
"Blue whale (Balaenoptera musculus)","1-to-1 View Gene Tree","VNN1  (ENSBMSG00010019428) Compare Regions (12:31,036,722-31,057,936:1) View Sequence Alignments","82.10 %","82.26 %","100","100.00","Yes"
"American bison (Bison bison bison)","1-to-1 View Gene Tree","VNN1  (ENSBBBG00000006066) Compare Regions (KN264913.1:8,218,814-8,235,207:1) View Sequence Alignments","80.93 %","81.09 %","100","100.00","Yes"
"Domestic yak (Bos grunniens)","1-to-1 View Gene Tree","VNN1  (ENSBGRG00000020424) Compare Regions (10:17,663,126-17,685,343:1) View Sequence Alignments","81.29 %","81.29 %","100","100.00","Yes"
"Hybrid - Bos Indicus (Bos indicus x Bos taurus)","1-to-1 View Gene Tree","VNN1  (ENSBIXG00005001988) Compare Regions (9:70,893,728-70,914,931:-1) View Sequence Alignments","81.68 %","81.68 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1 View Gene Tree","VNN1  (ENSBMUG00000007945) Compare Regions (JH880367.1:109,204-130,268:-1) View Sequence Alignments","81.13 %","81.29 %","100","100.00","Yes"
"Cattle (Bos taurus)","1-to-1 View Gene Tree","VNN1  (ENSBTAG00000015094) Compare Regions (9:70,834,660-70,857,677:-1) View Sequence Alignments","79.81 %","80.12 %","100","0.00","Yes"
"White-tufted-ear marmoset (Callithrix jacchus)","1-to-1 View Gene Tree","VNN1  (ENSCJAG00000036205) Compare Regions (4:135,414,450-135,480,240:-1) View Sequence Alignments","74.95 %","79.92 %","100","95.52","Yes"
"Arabian camel (Camelus dromedarius)","1-to-1 View Gene Tree","VNN1  (ENSCDRG00005021738) Compare Regions (8:27,940,141-27,957,122:1) View Sequence Alignments","80.63 %","79.53 %","100","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-many View Gene Tree","ENSCAFG00020021800 Compare Regions (QKWQ01000848.1:25,880,612-25,904,519:-1) View Sequence Alignments","79.38 %","79.53 %","100","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-many View Gene Tree","ENSCAFG00020021802 Compare Regions (QKWQ01000848.1:25,981,355-26,004,096:1) View Sequence Alignments","76.69 %","64.13 %","0","0.00","No"
"Dog (Canis lupus familiaris)","1-to-many View Gene Tree","VNN1  (ENSCAFG00845004723) Compare Regions (1:25,767,890-25,796,358:-1) View Sequence Alignments","79.38 %","79.53 %","100","0.00","Yes"
"Dog (Canis lupus familiaris)","1-to-many View Gene Tree","VNN1  (ENSCAFG00845004762) Compare Regions (1:25,864,183-25,912,718:1) View Sequence Alignments","79.38 %","79.53 %","0","0.00","No"
"Goat (Capra hircus)","1-to-1 View Gene Tree","VNN1  (ENSCHIG00000017810) Compare Regions (9:57,954,691-57,974,115:-1) View Sequence Alignments","77.88 %","80.31 %","100","99.89","Yes"
"Tarsier (Carlito syrichta)","1-to-1 View Gene Tree","VNN1  (ENSTSYG00000007618) Compare Regions (KE939587.1:416,643-437,589:-1) View Sequence Alignments","82.49 %","82.65 %","100","100.00","Yes"
"Chacoan peccary (Catagonus wagneri)","1-to-1 View Gene Tree","VNN1  (ENSCWAG00000000159) Compare Regions (PVHT020000077.1:23,306,013-23,323,380:1) View Sequence Alignments","80.08 %","79.92 %","100","100.00","Yes"
"Guinea Pig (Cavia porcellus)","1-to-1 View Gene Tree","VNN1  (ENSCPOG00000012107) Compare Regions (DS562923.1:73,011-95,877:-1) View Sequence Alignments","74.27 %","74.27 %","100","100.00","Yes"
"Panamanian white-faced capuchin (Cebus imitator)","1-to-1 View Gene Tree","VNN1  (ENSCCAG00000029700) Compare Regions (KV389693.1:158,494-189,980:-1) View Sequence Alignments","88.91 %","89.08 %","100","100.00","Yes"
"Sooty mangabey (Cercocebus atys)","1-to-1 View Gene Tree","VNN1  (ENSCATG00000033244) Compare Regions (KQ011318.1:12,906,893-12,938,812:1) View Sequence Alignments","86.24 %","78.17 %","100","100.00","Yes"
"Yarkand deer (Cervus hanglu yarkandensis)","1-to-1 View Gene Tree","ENSCHYG00000022495 Compare Regions (26:6,433,880-6,499,275:-1) View Sequence Alignments","48.92 %","79.14 %","50","84.19","No"
"Abingdon island giant tortoise (Chelonoidis abingdonii)","Many-to-many View Gene Tree","ENSCABG00000008904 Compare Regions (PKMU01001412.1:717,238-727,842:-1) View Sequence Alignments","67.14 %","64.13 %","100","96.71","Yes"
"Abingdon island giant tortoise (Chelonoidis abingdonii)","Many-to-many View Gene Tree","ENSCABG00000008979 Compare Regions (PKMU01001412.1:734,367-747,171:-1) View Sequence Alignments","64.19 %","62.18 %","100","0.00","Yes"
